"id","hisq_ensembles","operator","nbs","fit_n","result","commit_date","commit_user"
4437,"l2448f211b580m0064m0640m828","V",71,3,-0.000235011096041,"2017-06-14 00:36:35.694557-07","cchang5"
4438,"l2448f211b580m0064m0640m828","V",72,1,-0.000216988709701,"2017-06-14 00:36:35.720128-07","cchang5"
4439,"l2448f211b580m0064m0640m828","V",72,2,-0.000229367359691,"2017-06-14 00:36:35.753586-07","cchang5"
4440,"l2448f211b580m0064m0640m828","V",72,3,-0.000229979443805,"2017-06-14 00:36:35.778731-07","cchang5"
4441,"l2448f211b580m0064m0640m828","V",73,1,-0.000238836684147,"2017-06-14 00:36:35.804002-07","cchang5"
4442,"l2448f211b580m0064m0640m828","V",73,2,-0.00023611453725,"2017-06-14 00:36:35.829299-07","cchang5"
4443,"l2448f211b580m0064m0640m828","V",73,3,-0.000236118325424,"2017-06-14 00:36:35.854397-07","cchang5"
4444,"l2448f211b580m0064m0640m828","V",74,1,-0.00023638131059,"2017-06-14 00:36:35.87977-07","cchang5"
4445,"l2448f211b580m0064m0640m828","V",74,2,-0.000241940455938,"2017-06-14 00:36:35.913618-07","cchang5"
4446,"l2448f211b580m0064m0640m828","V",74,3,-0.000248488762228,"2017-06-14 00:36:35.938576-07","cchang5"
4447,"l2448f211b580m0064m0640m828","V",75,1,-0.000237777760237,"2017-06-14 00:36:35.964196-07","cchang5"
4448,"l2448f211b580m0064m0640m828","V",75,2,-0.000250204879514,"2017-06-14 00:36:35.989588-07","cchang5"
4449,"l2448f211b580m0064m0640m828","V",75,3,-0.000245934038149,"2017-06-14 00:36:36.014976-07","cchang5"
4450,"l2448f211b580m0064m0640m828","V",76,1,-0.000248204544465,"2017-06-14 00:36:36.048556-07","cchang5"
4451,"l2448f211b580m0064m0640m828","V",76,2,-0.000245203196164,"2017-06-14 00:36:36.074758-07","cchang5"
4452,"l2448f211b580m0064m0640m828","V",76,3,-0.000244296061693,"2017-06-14 00:36:36.10751-07","cchang5"
4453,"l2448f211b580m0064m0640m828","V",77,1,-0.000250903816096,"2017-06-14 00:36:36.132699-07","cchang5"
4454,"l2448f211b580m0064m0640m828","V",77,2,-0.00024259878342,"2017-06-14 00:36:36.166811-07","cchang5"
4455,"l2448f211b580m0064m0640m828","V",77,3,-0.000269977438375,"2017-06-14 00:36:36.191607-07","cchang5"
4456,"l2448f211b580m0064m0640m828","V",78,1,-0.000230983317539,"2017-06-14 00:36:36.21721-07","cchang5"
4457,"l2448f211b580m0064m0640m828","V",78,2,-0.000235474705983,"2017-06-14 00:36:36.242383-07","cchang5"
4458,"l2448f211b580m0064m0640m828","V",78,3,-0.000229932871962,"2017-06-14 00:36:36.267672-07","cchang5"
4459,"l2448f211b580m0064m0640m828","V",79,1,-0.000212990248954,"2017-06-14 00:36:36.300906-07","cchang5"
4460,"l2448f211b580m0064m0640m828","V",79,2,-0.000206864620864,"2017-06-14 00:36:36.326609-07","cchang5"
4461,"l2448f211b580m0064m0640m828","V",79,3,-0.000214681405028,"2017-06-14 00:36:36.351654-07","cchang5"
4462,"l2448f211b580m0064m0640m828","V",80,1,-0.000217783843814,"2017-06-14 00:36:36.377072-07","cchang5"
4463,"l2448f211b580m0064m0640m828","V",80,2,-0.000219545633502,"2017-06-14 00:36:36.402205-07","cchang5"
4464,"l2448f211b580m0064m0640m828","V",80,3,-0.000214359746363,"2017-06-14 00:36:36.43658-07","cchang5"
4465,"l2448f211b580m0064m0640m828","V",81,1,-0.000227220607638,"2017-06-14 00:36:36.462119-07","cchang5"
4466,"l2448f211b580m0064m0640m828","V",81,2,-0.00022797645828,"2017-06-14 00:36:36.49519-07","cchang5"
4467,"l2448f211b580m0064m0640m828","V",81,3,-0.000228035468211,"2017-06-14 00:36:36.520865-07","cchang5"
4468,"l2448f211b580m0064m0640m828","V",82,1,-0.000216615270584,"2017-06-14 00:36:36.554357-07","cchang5"
4469,"l2448f211b580m0064m0640m828","V",82,2,-0.000221055022014,"2017-06-14 00:36:36.580194-07","cchang5"
4470,"l2448f211b580m0064m0640m828","V",82,3,-0.000213209282081,"2017-06-14 00:36:36.613649-07","cchang5"
4471,"l2448f211b580m0064m0640m828","V",83,1,-0.000250561650384,"2017-06-14 00:36:36.647885-07","cchang5"
4472,"l2448f211b580m0064m0640m828","V",83,2,-0.00024284291873,"2017-06-14 00:36:36.680811-07","cchang5"
4473,"l2448f211b580m0064m0640m828","V",83,3,-0.000238581341069,"2017-06-14 00:36:36.714835-07","cchang5"
4474,"l2448f211b580m0064m0640m828","V",84,1,-0.000246481736212,"2017-06-14 00:36:36.748489-07","cchang5"
4475,"l2448f211b580m0064m0640m828","V",84,2,-0.000256503705443,"2017-06-14 00:36:36.78191-07","cchang5"
4476,"l2448f211b580m0064m0640m828","V",84,3,-0.000246726032266,"2017-06-14 00:36:36.815758-07","cchang5"
4477,"l2448f211b580m0064m0640m828","V",85,1,-0.00023011876832,"2017-06-14 00:36:36.849408-07","cchang5"
4478,"l2448f211b580m0064m0640m828","V",85,2,-0.000230911308432,"2017-06-14 00:36:36.909374-07","cchang5"
4479,"l2448f211b580m0064m0640m828","V",85,3,-0.000246600070548,"2017-06-14 00:36:36.941645-07","cchang5"
4480,"l2448f211b580m0064m0640m828","V",86,1,-0.000213365824289,"2017-06-14 00:36:36.975726-07","cchang5"
4481,"l2448f211b580m0064m0640m828","V",86,2,-0.000205812855055,"2017-06-14 00:36:37.009357-07","cchang5"
4482,"l2448f211b580m0064m0640m828","V",86,3,-0.000221163652829,"2017-06-14 00:36:37.060519-07","cchang5"
4483,"l2448f211b580m0064m0640m828","V",87,1,-0.000251501211065,"2017-06-14 00:36:37.118987-07","cchang5"
4484,"l2448f211b580m0064m0640m828","V",87,2,-0.00026035642454,"2017-06-14 00:36:37.156057-07","cchang5"
4485,"l2448f211b580m0064m0640m828","V",87,3,-0.000255074400278,"2017-06-14 00:36:37.184105-07","cchang5"
4486,"l2448f211b580m0064m0640m828","V",88,1,-0.000220677143497,"2017-06-14 00:36:37.209691-07","cchang5"
4487,"l2448f211b580m0064m0640m828","V",88,2,-0.000219463841233,"2017-06-14 00:36:37.235722-07","cchang5"
4488,"l2448f211b580m0064m0640m828","V",88,3,-0.000229450493235,"2017-06-14 00:36:37.269882-07","cchang5"
